,comment,title,date,name,stars
10,"Visitare Milano nel periodo di Natale e' molto suggestivo e le mille luminarie che impreziosiscono la citta'la rendono ancora pu' magica.Tra i tanti eventi cui e' possibile assistere in questo periodo, consiglio a tutti le fontane danzanti sui Navigli.Ogni sera dopo il 7 dicembre dalle 18.30 in poi sulla Darsena si assiste a uno spettacolo meraviglioso: fontane d' acqua illuminate che passano dal bianco all'azzurro ai toni piu' accessi del rosso e dell' arancio  danzando al ritmo di musiche natalazie.Nei dintorni,le tipiche bancherelle con chioschi food e drink che ti riscalderanno.Per chi lo desidera e' possibile ogni giorno dal 16 novembre al 30 dicembre 2019 fare una navigazione sui Navigli accompagnati da un pianista compositore con la partecipazione di artisti del coro della Scala.Botteghini x acquisti biglietti in loco.",Giochi d'acqua natalizi e navigazione musicale, 15 dicembre 2019,Alessandra d,1.0
11,"Bellissimo in questa stagione , abbiamo girato in bici e a piedi. Preso la barchetta a remi nel laghetto, mangiato in uno dei tanti ristorantino sparsi e poi rilassati sul prato all’ombra di un albero... ",Domenica al parco, 7 ottobre 2017,Elisabetta P,5.0
12,"E' una delle attrazioni più importanti da vedere. Ingresso gratuito con audio guida. Da fuori l'edificio ha ancora i caratteri originari di fine settecento, ma l'interno è completamente moderno con possibilità di visitare l'ultimo piano con suggestiva cupola in acciaio e vetro, e con rampa perimetrale circolare con accesso al terrazzo con superba vista sulla città. Da vedere.",visita a berlino, 17 marzo 2019,V586OIdavide,4.0
13,"Quando si arriva si coglie subito la desolazione di questo memoriale ma solo entrandoci e camminando per questi blocchi di cemento sempre più alti e stretti si capisce lo smarrimento, il terrore, la perdita della coscienza e dell'umanità. Come in una chiesa ci vorrebbe un momento di raccoglimento e un sacro rispetto per questo luogo ma purtroppo alcuni turisti si scattano foto sorridenti e in pose da spiaggia. L'idiozia umana non ha mai fine!",Lo smarrimento della ragione, 5 aprile 2019,Aurora P,4.0
14,nessuna città al mondo ha questo. per esyensione per i suoi piacevoli sali scendi per la frescura per il picnic per leggere per i bimbi gli anziani . non è un oasi ma qualcosa in più Sicuro oggi e ben sorvegliato anche di sera. ,il parco dei desideri, 6 febbraio 2017,Saverio Ammendola,5.0
15,"Canali erano esaurite pochissima acqua. Alcune parti in costruzione. Sembra essere una zona notte della nostra vita... Molti un po' folle a questo. Le bottiglie di birra tutto compreso nel modo di acqua, bevande sulla terra tutto strade. Ci sono molti ristoranti nei dintorni. Essere consapevoli dove la vostra a piedi non eravamo a conoscenza della zona e siamo finiti in una zona sempre agitato della città. Un piccolo pochi negozi e da un sacco di elementi di tipo di mercato delle pulci. Si può acquistare un telefono cellulare caso o self stick a ogni 3 ripida mi sudore! Non è quello che mi aspettavo a tutti!",Non è il migliore, 7 marzo 2013,Tiffany H,2.0
16,"Bellissimo, capolavori di Caravaggio, Velasquez, Raffaello, Reni, Goya e moltoo altro. Anche chi non è amante dell'arte deve visitarlo; ogni giorno si entra gratis dalle 18 alle20, fila lunga ma scorrevole.","È bellissimo, gratis dalle 18 alle 20", 30 settembre 2018,viaggiatorelowcost,5.0
17,"Zona molto famosa di Milano, io l'ho visitata di giorno trovandola molto mesta e triste. Probabilmente la sera è più viva ma di giorno si vede solo porte chiuse e uno squallido acquitrino.",Rilassante, 25 gennaio 2016,Nocciolino72,3.0
18,"Immenso parco in cui ognuno trova il proprio spazio e modo di impegnare il tempo!Abbiamo noleggiato due bici ed è stato molto divertente girare tutto il parco, trovi artisti di strada, giochi per piccoli e aree per adulti. Il cuore pulsante di Manhattan! Consigliato a chi oltre ad essere di passaggio, vuole staccare dalla frenetica città !",Relax e sport!, 14 agosto 2017,Fram05,5.0
19,"...sono comunque i navigli. Un giro va fatto soprattutto se siete in città per pochi giorni. Pieno di locali alla moda e molto vivace. Forse a un certo orario cè un Po troppa confusione e poco ""controllo""",I navigli..., 23 settembre 2018,Vincenzo,3.0
20,"Credo sia uno dei parchi cittadini più famosi al mondo. E meritatamente. E' il polmone verde di NY, ma al suo interno vi sono anche molte altre attrazioni. In primis , appena entrati , degli scoiattoli giocosi vi accoglieranno nella speranza di qualche leccornia da mangiare. Buon divertimento",Anche solo per 10 minuti ma andateci, 11 settembre 2015,sergio pigoli p,5.0
21,"Siamo rimasti incantati nel varcare la soglia di questa piccola e semplice, dall'esterno, chiesetta in una via di grande passaggio a pochi passi dal centro.Gli affreschi sono riemersi per merito del lungo lavoro di molti volontari appassionati e per noi visitatori è gioia visiva.La paragono alla cappella degli Scrovegni in quel di Padova in alcuni suoi profili.Da vedere..!",Delizia per gli occhi, 14 ottobre 2018,lunina71,5.0
22,Me ne parlavano molto bene prima di andarci ma penso che non ci sia nulla di particolare almeno che non si voglia buttare soldi in aperitivi,una passeggiata come tante altre, 6 agosto 2016,PontonioG,3.0
23,In questo momento il museo è visitabile in maniera molto ridotta. Ho trovato la visita molto deludente.,Noioso, 8 agosto 2020,Irene antonacci,2.0
24,Bellissima passeggiata fatta oggi con i miei bambini. Giro di un oretta in carrozza tirata da un cavallo e il cocchiere è stato estremamente gentile facendo sedere accanto a lui il mio bambino e spiegandoci o meglio descrivendo ci i posti più importanti del parco,Wow , 6 settembre 2018,tizianoo971,5.0
25,"Dopo averlo visto tante volte in foto, nei films,  ho avuto il piacere di viverlo di persona ed è stato meraviglioso. Aveva nevicato il giorno prima e Central Park era ancora più bello.Unico....",Unico, 11 marzo 2016,Filippo S,5.0
26,"Central park è splendido e quando si ha la fortuna di visitarlo in inverno, in una giornata fredda ma piena di sole...la sua bellezza scalda il cuore! Non seguite particolari itinerari, lasciatevi portare dai sentieri che incontrate, alla ricerca degli scoiattoli o degli animali che riempiono gli spazi verdi..un incanto.",Una meraviglia!, 3 marzo 2018,Federica C,5.0
27,"Central Park è molto vasto, se possibile è bello girarlo in bicicletta.La parte imperdibile è dove c’è la Bethesda Fountain, con il laghetto, le barche a remi che si possono affittare  o le carrozze a cavallo. State lontani dai risciò.  In inverno c’è anche la pista di pattinaggio che è divertente. Ma è bellissimo anche solo per una passeggiata o, un pic nic! ",Parco meraviglioso in tutte le stagioni, 11 febbraio 2020,Paola NY,5.0
28,"Devo dire che la zona dei navigli è la parte di Milano che preferisco. La darsena poi, grazie all'expo, è davvero carina",Una bella Milano!, 10 settembre 2015,Hells85,4.0
29,"Siamo stati molto fortunati, una gran bella giornata e cielo limpido. La passeggiata in central Park ha sempre il suo fascino, non si può perdere!",Una gran bella passeggiata, 23 marzo 2016,Giuseppe S,4.0
30,"Nonostante le alte aspettative ci ha soddisfatto sotto ogni punto di vista, curato e appagante, Curati anche i giardini circostanti",Fantastico, 17 settembre 2019,Francesco D,5.0
31,Ottimo posto favoloso molto caratteristico amo l atmosfera che riserva questo meraviglioso navigli da ritornarci molto presto,Ottimo, 6 ottobre 2016,Santina P,5.0
32,"Mostra interessante e suggestiva, non è necessaria la prenotazione, consigliabile arrivare presto per non fare coda",Da non perdere , 6 giugno 2023,francesca_g,5.0
33,Se vi piace lo stare insieme alle persone in un luogo pieno di locali di tutti i generi siete nel posto giusto,gita, 2 dicembre 2019,Giancarlo P,4.0
34,"Una delle tante meraviglie milanesi sconosciute ai più; lungo corso Magenta, una delle vie più rinomate e centrali, a fianco al museo archeologico. La facciata non è delle più suggestive e attraenti, ma l'interno è tutto da scoprire. La grande navata è divisa in due aule da una parete divisoria, che riempie immediatamente lo sguardo con i suoi vivaci affreschi. Sono proprio gli affreschi a caratterizzarla, riempiendo non solo le sei cappelle laterali e il resto della prima aula, l'""aula dei fedeli"", ma anche l'intera ""aula delle monache"", celata dietro alla parete divisoria, a cui si può fortunatamente accedere, vedendo anche il grande organo. Gli affreschi, il cui autore principale è Bernardino Luini, seguito dai tre figli Aurelio, Giovan Pietro e Evangelista Luini, nonché da diversi altri artisti del periodo, hanno fatto sì che la chiesa venisse indicata anche come ""Cappella Sistina di Milano"". A disposizione dei visitatori grazie ai volontari del Touring Club Italiano.",Il gioiello di Milano, 10 settembre 2014,Ilyesp,5.0
35,"Un museo meraviglioso dove sono esposte opere d'arte mozzafiato. Durante la mia visita al museo non mi sono accorto del trascorrere delle ore sono entrato alle ore 11 circa e ho terminato la mia visita alle 18, senza sosta. MERAVIGLIOSO.",Assolutamente da visitare, 5 dicembre 2017,BabySimo,5.0
36,"ideale per chi ama passeggiare!! la sera stra pieno di gente e locali!! luogo frequentato da persone tranquille, peccato per la pavimentazione che con i tacchi è antipatica :D però promosso per la vita che c'è e i numerosissimi locali!",yeah!, 14 marzo 2015,Otrillitrillitrilli,4.0
37,"Bellissimo posto, dai colori stupendi in Autunno , un paradiso in una delle più belle città del mondo !",Bellissimo, 4 giugno 2018,americandee,5.0
38,"Gli affreschi (che sono molto belli e meritano una visita anche approfondita - non lasciarsi ingannare dalle piccole dimensioni del posto - ma non sono la Cappella Sistina) meriterebbero forse quattro stelle su cinque, ma la quinta è ben meritata per come il Touring Club gestisce la splendida chiesa, aperta anche in virtù di questo ad orari a cui sarebbe difficile trovare nel resto di Milano una chiesa aperta che non sia il Duomo. Non ci si lasci ingannare dall'esterno quasi anonimo: le due sale interne regalano sorprese cinquecentesche, e la seconda anche più della prima!",Bellissima e ben gestita, 24 agosto 2022,Ag17022000,5.0
39,Se volete conoscere di più del sistema governativo tedesco vi consiglio questa visita guidata gratuita previa registrazione e richiesta disponibilità. Inoltre potrete ammirare il recupero di un edificio storico in chiave moderna e alla fine potrete ammirare il panorama della città dalla cupola e dalla terrazza,Visita guidata interessante, 17 marzo 2019,FrAle2008,4.0
40,"Un'atmosfera romantica nel cuore di New York. Curatissimo, pulito e sorvegliato. È tutto di un verde meraviglioso e ci sono molte zone di relax. Non si possono portare alcolici all'interno del parco..e sinceramente questa cosa ti fa sentire più tranquillo visto gli individui che girano in questa città (come in tutte le grandi città)",Meravigliosamente surreale, 5 maggio 2016,ValeArteFood,5.0
41,"Freedom. Un museo a cielo aperto..murales ,street art per la libertà e la pace.. No more walls ,freedom",No more walls, 28 febbraio 2019,AndreaM16192,5.0
42,Tappa assolutamente da non perdere!Mia moglie ed io l'abbiamo girato praticamente tutto da sud a nord.Luogo per stupende camminate (io sono stato in primavera con tutte le piante in fiore) oppure per jogging o semplicemente per rilassarsi sul prato curatissimo.Assolutamente da evitare il giro in carrozza. Quei poveri cavalli potrebbero fare benissimo dell'altro che portare in giro voi.Piuttosto prendete una delle numerosissime biciclette a noleggio presenti in tutta la città.,Semplicemente meraviglioso!, 29 aprile 2017,Coa,5.0
43,"Passaggiata e cena di coppia, simpatica location, bella passeggiata ma nessun entusiasmo. Difficoltà a trovare un locale che ci ispirasse, se non ami apericene, drink, cucine tipiche, se non gradisci mangiare all'aperto o quasi e soffri dell'effetto locale per turisti, meglio non andare. Tanti giovani, tutti giovani, forse la colpa è ella mia anagrafe!",Forse era sbagliata l'età!, 14 marzo 2018,Fabio M,3.0
44,Se andate a New York è imperdibile una passeggiata o addirittura un'intera giornata dedicata a vivere questo bellissimo parco. ,Il cuore verde di New York, 23 agosto 2016,Sissi85_28,5.0
45,"Ogni volta che vado a Milano cerco di trascorrere qualche ora rilassante sui Navigli. Locali piacevoli, molta gente che passeggia, ed un' atmosfera davvero piacevole!",Li adoro, 29 marzo 2016,Joyrayd,5.0
46,"Sono stato a NY ormai più di 30 volte ed ogni volta una passeggiata in questo magnifico parco non me la perdo! Che sia d’estate con il caldo, d’inverno con la neve o in qualsiasi altro periodo dell’anno è un posto meraviglioso!!",Il cuore verde della city, 19 giugno 2018,Andrea C,5.0
47,Imponente e Maestoso... come non fermarsi ad ammirare questo monumento simbolo di Milano bellissimo anche di sera per delle foto by night,Imponente, 21 ottobre 2018,lafollecorsa,4.0
48,"Museo vasto e bellissimo per le numerose opere in esso presenti. Peccato non ci fosse una visita guidata in italiano.  Avrei gradito anche dei percorsi più delimitati, invece si poteva passare da una sala all'altra senza capire dove fosse meglio proseguire. Le opere, però, sono notevoli.",Museo stupefacente, 10 aprile 2019,Sabina V,4.0
49,"Milano nasconde i suoi tesori agli occhi dei più, ma per chi ama la bellezza e la cultura, questa chiesa in pieno centro meneghino, è da assaporare.",Entrate assolutamente!, 10 dicembre 2015,bercifede,5.0
50,una volta a NY nn potente non andare al CENTRAL PARK !! un polmone verde in una città fatta di grattacieli e caos di auto. un paio di ore a rilassarsi  li per rigenerarsi come fanno gli abitanti di NY. LO CONSIGLIO,ASSOLUTAMENTE DA VEDERE A NY, 24 settembre 2017,squalo c,5.0
51,"Simbolo della divisione e dell'unità della Germania. Porta prussiana  , simbolo della pace ed accesso al viale Unter den linden",Simbolo della città, 10 novembre 2019,Francesco gandolfi,4.0
52,"A mio avviso ogni volta che si va a Berlino, bisogna andare a vedere se vi sono stati cambiamenti !!",in continuo cambiamento, 1 febbraio 2020,flaminia2102,5.0
53,Grazie ad alcuni conoscenti residenti a Milano abbiamo avuto la fortuna di scoprire la meravigliosa chiesa di San Maurizio che ci ha lasciati superati per la bellezza e la complessità degli affreschi ,Una meraviglia inaspettata, 14 aprile 2019,Giovanni c,5.0
54,"Ogni volta un’emozione unica, spettacolare vista nel pieno centro di Milano. Mi innamoro ogni volta che torno",Fantastico, 12 febbraio 2020,Gabbo,4.0
55,Gran parte del museo è dedicato a artisti spagnoli ed europei dal 1400 al 1700. Tantissime le sale da visitare e quindi impossibile vederle tutte se non dedicando  più giornate al Prado,"Bellissimo ma, come tutti i grandi Musei, eccessivo.", 31 marzo 2019,corradcla,4.0
56,"Che tu sia in vacanza o per lavoro, consiglio chiunque a passarci del tempo. Adatto anche per chi ha bambini piccoli con passeggini. Sono frequenti piccoli concetti o spettacoli di qualsiasi genere.consiglio di noleggiare una bicicletta. Purtroppo ho visto che il verso per i mezzi è in un unica direzione. Se si tornare indietro è indispensabile prendere la bici e portarla a piedi dalla parte opposta del parco.","Un verde tra i grattacieli, stupendo", 24 settembre 2018,Stefano1612,4.0
57,Appena entrati si rimane senza fiato. La prima sala è piena di affreschi ma appena si va nel coro  dietro l’altare tutto è ancora più magico.  Osservando gli affreschi si raggiunge un senso di pace immenso. ,L’immenso , 6 marzo 2020,DanielaC697,5.0
58,"Dopo la riqualificazione dei Navigli , la zona è divenuta centro di movida , tanti ristorantini , pub, bar un luogo veramente attraente",Caratteristico, 27 giugno 2019,sergiodf6,4.0
59,Erano molti anni che non frequentavo la zona dei Navigli e sono rimasta piacevolmente stupita nel vedere le modifiche apportate sopratutto alla darsena. Molti locali e ristorantini pieni di giovani. ,Sorpresa , 12 novembre 2017,Vetmcc,5.0
60,"molto bello passeggiare nel parco, vedere tutta questa natura circondata dai grattacieli fa una certa impressione",rilassante, 1 settembre 2019,franco c,5.0
61,Tutti gli anni per il periodo di Natale con amici o parenti non manca il giro a Milano per visitare ed apprezzare la meraviglia del Duomo e il fascino del Natale che si respira in torno. Comunque da visitare sempre. ,Fascino del Natale, 3 febbraio 2020,Silvano V,4.0
62,"Assolutamente da vedere ; uno spettacolo di verde in mezzo al cemento.A piedi o in bici. Potete trovare ai lati dei piccoli bistrot con I prodotti locali, caffe, donuts ecc ecc",Giornata stupenda, 6 dicembre 2018,unicavr,5.0
63,Il duomo di milano non si commenta è unico nel suo genere in una piazza davvero speciale !Maestoso come sempre .Bellissimo di notte chiaramente .,Semplicemente unico ..., 25 settembre 2018,Donato Di Noia,5.0
64,"Un'oasi di pace nel caos di New york, il tempo qui passa sempre troppo in fretta. Un posto veramente incantevole dove mangiare, riposarsi, passeggiare e rilassarsi",Relax, 8 gennaio 2016,Federica8431,5.0
65,"Non pensavamo che fossero così ben restaurati, belli per camminarci a fianco anche per chilometri, belli da navigare anche se un po' più adatti a persone non abituate a camminare e a bambini. Tutto molto ordinato e pulito, abbiamo capito come Milano stia sorpassando turisticamente Roma.",non pensavamo, 5 maggio 2017,luciano v,5.0
66,"Non avevo mai visto i navigli. mi hanno emozionato. entusiasmato, ci sono molti locali e ristoranti di diverso tipo  . tutti accoglienti e con personale simpatico. al tramonto diventano incantevoli.",Bellssimi, 11 novembre 2019,Ora di pranzo,5.0
67,Si entra in una chiesa piccolissima con la sensazione che manca qualcosa: il passaggio nel salone del coro risolve il problema. Grandioso! Affreschi stupendi  e atmosfera straordinaria,Una sorpresa, 14 ottobre 2018,Fabrizio P,5.0
68,"facile da raggiungere con i mezzi,assolutamente da vedere tutto il muro rimasto,fino ad arrivare alla stazione metro,mentre lo si percorre ci si chiede quanto fosse assurdo e triste che durante la guerra la cittò fosse divisa proprio da quel muro.L'unica nota negativa sono  i malfattori che spillano soldi con i loro giochi di carte.",da visitare assolutamente, 18 settembre 2018,LAURAB.,5.0
69,"Mi ha attirato il nome del Santo a me molto caro, poi San Maurizio di chiese intitolate a lui ne ha davvero poche, infine nessuna statua al suo interno ma un continuo di meravigliosi affreschi.Non dimenticate di visitarla.",Da non perdere , 14 novembre 2015,ANM,5.0
70,Area incantevole a camminare come una pausa da milano folle centrali. Trattorie tradizionali e milanese cotolette migliore che riempiva il piatto (vitello lasciarle rosolare nel pangrattato al limone e arrosto con patate) . Questo con un gelato da Amorino era una posizione ottima per riempire tempo prima di rientrare per l'aeroporto. 2 Stazioni della metro è molto vicino.,La Pace in città, 20 gennaio 2017,londonHands,4.0
71,Ho passeggiato in questo immenso parco la mattina del BlackFriday: la giornata era bellissima e il clima quasi primaverile. È un'oasi di natura e relax dalle orde di turisti e shopping-addicted che affollavano Manhattan la settimana del thanksgiving. Non si può visitare New York senza passare da qui!,Superbo, 26 dicembre 2015,titta4ever,5.0
72,"Un'oasi in mezzo alla città. Ogni volta che ci torno scopro un angolo nuovo. È un posto che mi emoziona molto. Mi siedo sull'erba, sulle panchine curiosando le varie targhe, corro, cammino... Dovrebbe esserci qualcosa di simile in ogni città...",Il posto più bello del mondo, 9 luglio 2017,Fratraba,5.0
73,"I dipindi, gli affreschi, tutta la struttura. le guide sono cordiali, la visita era gratuita. Ottimo esempio di arte e archittetura sacra.",Ottimo monumento, 28 settembre 2016,Qalby,5.0
74,"Andate a correre a central park!!!È un'esperienza da fare! Il contesto è incredibile, immersi nel verde e con una vista spettacolare sulla città!Il parco e' molto frequentato, e sorvegliato! Potete anche andare a correre da soli, nessuno vi disturberà!",Una delle più belle corse della mia bita, 14 giugno 2016,El1ca84,5.0
75,"Leggo in alcune recensioni recenti che il complesso è saltuariamente aperto e in determinati orari, non è vero perché noi volontari  di ""Aperti per voi"" del Touring club italiano teniamo aperto questo sito da martedì alla domenica (l'apertura domenicale completa è partita da luglio 2014) ininterrottamente dalle 9,30 alle 17,30 come sta scritto anche sui nostri pieghevoli. Ricordiamo inoltre che sino a dicembre 2014 , causa l'ultima fase dei restauri nella chiesa dei fedeli ,per motivi di sicurezza, l'accesso al coro delle monache avviene passando dal Museo Archeologico.",Orari per la visita, 5 dicembre 2018,tico284,5.0
76,"Definita la Cappella Sistina di Milano, la Chiesa di San Maurizio al Monastero Maggiore presenta 4 mila mq di affreschi di scuola leonardesca.Fra tutti stupisce l'affresco con le storie dell'Arca, attribuito ad Aurelio Luini.Altri affreschi sono stati realizzati da Bernardino Luini, da Simone Peterzano, il maestro di Caravaggio, dal Bergognone e da Antonio Campi.",La Cappella Sistina di Milano, 4 settembre 2018,pasotteo,5.0
77,Aperta al pubblico grazie ai Volontari TCI di Milano questo impareggiabile gioiello dell'arte milanese è ciò che resta del Monastero Maggiore. Tra i siti di Milano è quello più visitato da persone provenienti da ogni parte del mondo! ,Un vero gioiello, 19 ottobre 2020,Ermanno M,5.0
78,"Più volte ho visitato questa magnifica cattedrale nel cuore di Milano. È molto apprezzato l'idea di poter acquistare dei biglietti di ingresso con varie possibilità, dalla semplice entrata nella chiesa, al tetto, ai musei. Tuttavia l'aspetto negativo è quello di ritrovarsi nella biglietteria con 10 sportelli e 4 selfservice, e soltanto la metà aperti, con attese di oltre un'ora per permettere alle oltre 150 persone in attesa di essere servite. Questo è un servizio pessimo e si dovrebbe provvedere soprattutto nei giorni di fine settimana o quando vi sono eventi in città.",Imponente, 20 agosto 2014,claclonicnoe,4.0
79,"tutto l'anno i navigli sono il centro della movida milanese grazie alla sfilza di locali dove fare l'happy hour a 10€ o meno o poco più, in base ai locali, o bere un drink dopo cena.piacevole anche passeggiare lungo i navigli, ma d'estate le zanzare sono molto fastidiose a causa della grande quantità di persone presente ed ai navigli stessi.",il centro della movida milanese, 7 agosto 2018,Giulia Chiariello,5.0
80,"Come tutti i grandi musei molto faticoso, non facile seguire un itinerario ma forse non bisogna neanche seguirlo. Le opere sono opere classiche, per gli appassionati o per chi non può andare a Madrid e non visitare Prado. ",Faticoso , 18 novembre 2018,Marco C,4.0
81,Il Duomo di Milano STUPENDA costruzione all'interno bellissimo affreschi se poi saluti sulle guglie avrete la possibilità di vedere  un ottima veduta  di Milano ,Il Duomo  di milano, 25 settembre 2018,Luca B,5.0
82,Siamo stati per una vacanza a Milano ma questo quartiere lo abbiamo trovato sporco e non curato ....,Sporchi e nulla d eccezionale , 3 febbraio 2020,Daniel falcomer,3.0
83,"Il verde della natura e il grigio dei palazzi riflessi sul lago danno vita ad un moderno quadro impressionista in movimento, particolarmente suggestivo e indimenticabile. È una bellissima meta da fare dopo aver visitato la parte centrale di new york così da spezzare la frenesia della città. Il parco è abitato da tanti scoiattoli e uccelli di vario tipo, da tante piante provenienti da diverse parti del mondo come il pino giapponese e da tanti fiori colorati. <3",<3 Una meta da non perdere! <3, 9 ottobre 2018,MartinaSkynet,5.0
84,"E' tutto fantastico! Peccato che non vi celebrino + la Theia Liturghia. E' una delle Chiese più belle di tutta Milano, e la consiglio ad ogni turista. ",SPLENDIDERRIMA, 30 marzo 2015,שמעון ס,5.0
85,"Central park è un polmone verde in mezzo a New York, non sembra nemmeno di essere in città! Tanti spazi verdi in cui fare pic nic",atmosfera stupenda, 11 giugno 2016,chia_24,5.0
86,"Mantenuta aperto tutti i giorni (tranne il lunedì) dai volontari del Touring Club, che svolgono un opera veramente meritoria. Altrimenti marcirebbe chiusa. È molto bella, suddivisa in due parti, una delle quali riservata un tempo alle suore di clausura. Affreschi infiniti ne decorano pareti, soffitti e volte. Vale una, seppur breve, visita.",Bellissimo e gratuito!, 10 ottobre 2017,circemarzia,5.0
87,"I Navigli per un milanese sono le vene e le arterie che portano vita al cuore di Milano.Dire ""Navigli"" ovviamente è generico (ne son rimasti 3: Il Grande, Il Pavese e la Martesana) come solo generica può essere questa recensione.Generica perchè, per non farla chilometrica, dovrei solo elogiare i locali tipici, gli immobili che insistono sulle sponde, le immediate vicinanze, le gioiose fiere che si tengono a intervalli regolari, la vita serale e notturna, l'arte che li contraddistingue (specie il Grande fra negozi, artisti e fiere di antiquariato).Andare a guardare ogni singolo aspetto, ogni nota particolare, ogni colore del caso, sarebbe veramente una cosa esagerata.Sicuramente per un turista, o per un semplice viandante, i Navigli sono qualcosa che non si può depennare da una minima lista di cose da fare a Milano.Anche se fosse solo per ammirare una delle tante invenzioni geniali di Leonardo Da Vinci (il portello delle chiuse) o ammirare un tramonto da uno dei tanti ponti.Di Navigli a Milano ne avevamo tanti, poi ricoperti per svariati motivi.Qualcuno sta pensando a qualche (auspicabile) riapertura.Sarebbe bello: Milano tornerebbe la ""Città D'Acqua"" che è sempre stata e noi avremmo qualcosa in più da farci invidiare dal pianeta tutto (come se non bastasse quel che già abbiamo!)",La parte più tipica di Milano..., 16 giugno 2018,Carlo Colombo,5.0
88,"Zona aggiornata dopo anni di degrado, con diversi locali e negozi, ospita anche un mercato. Piacevole per farci dire passi lontani dalle solite attrazioni del centro",Caratteristico, 6 novembre 2017,fyury,2.0
89,"Assolutamente consigliabile, non si può andare a Berlino e non andare a vedere questo memoriale. E' importante",No ai muri, 23 febbraio 2018,Tatti57,5.0
90,Bisogna assolutamente passeggiare per questo parco stupendo e fermarsi per un pic Nic  o prendere una barca a noleggio o semplicemente sedersi su una panchina a guardare la gente che passa sembra di essere in uno dei tanti film che sono stati girati qui,Passeggiata , 27 novembre 2016,974beatriceb,5.0
91,"Questo parco è immenso! Per davvero si può dire che è il polmone verde di NY City! Vorrei viverci solo per alzarmi al mattino e avere la possibilità di farci la corsetta tra scoiattoli, specchi di acqua e ponti incantati. E poi davvero nel cuore della città,Ottimo per correre, andare in bici, rilassarsi su una panchina, piacevolissime passeggiate o per giocherellare con scoiattoli amichevoli ",Tra scoiattoli e passeggiate, 22 gennaio 2016,Mumanumu,5.0
92,"Parco enorme, bellissimo, con due piste di pattinaggio. In primavera estate sicuramente offre uno spettacolo di colori meraviglioso.. un consiglio : nn fittate le biciclette, è piuttosto stancante !!!",Bel parco , 19 gennaio 2017,Roberto G,5.0
93,Ottima esperienza. Molto interessante organizzazione perfetta.  Ci sono opere di molti artisti spagnoli. Io ho adorato Il Bosco. ,Interessante, 29 maggio 2019,contimauri,5.0
94,"Non sono fanatica dei parchi e ho approcciato Central Park come un'attrazione qualsiasi. Sono rimasta affascinata...mi è rimasto nel cuore. Girato quasi tutto a piedi, merita davvero ad ogni passo.",Una gradita sorpresa, 5 settembre 2017,Priscilla D,5.0
