Unnamed: 0,comment,title,date,name,stars,sentiment
8943,Una passeggiata nella movida Milanese! Aperitivo lungo.......lungo tutti i navigli...spettacolare!!!!!! Da passeggiarvi in tutti e due.,Belli, 10 marzo 2019,dimi1966,5.0,positive
2550,"Per via del covid hanno limitato l'accesso a molte sale, troppe, e il biglietto non è sceso di prezzo.",Troppo limitato , 15 agosto 2020,andrearoberta,2.0,negative
18959,"A parte alcuni capolavori, molte opere sono da “toccata e fuga”! Fortunatamente erano in corso due mostre temporanee ( Fra Angelico e Pittura Olandese confrontata con grandi spagnoli) decisamente interessanti. L’organizzazione generale lascia un po’ a desiderare così come la pulizia del museo. Speriamo nella ristrutturazione per i 200 anni.",Non è il mio genere preferito, 25 agosto 2019,Samuela e Vittorio Bandoni,3.0,neutral
7335,I miei preferiti Goya e Velasquez e Rubensmiei preferiti Goya e Velasquez e Rubensmiei preferiti Goya e Velasquez e Rubens,Visita bella ma troppo breve dato l' orario di chiusura, 27 agosto 2017,Paola M,5.0,positive
6318,"Rovinata definitivamente la darsena. Nel senso che il restauro poteva anche starci, ma avessero messo del verde, degli alberi, qualcosa!La Darsena è un deserto di mattoni e cemento, d'estate il caldo è totale ed è sempre tappezzata di orrende installazioni messe in piedi dagli sponsor. Sicuramente uno spazio con grande potenziale anche per attività in acqua, ma poco sfruttato.Veniamo ai tanto decantati navigli. Il problema fondamentale dei navigli è a mio parere il basso livello dei locali. Quasi tutti uguali fatticon lo stampo, come quasi tutti i ristoranti. Non c'è più nessun tipo di identità a caratterizzare la zona. Certo qualche eccezione c'è,qualche ristorante e qualche enoteca difendono il buon nome della zona ma tutto il resto a mio parere è carissima fuffa.Una nota di (de)merito per il mio adorato (in passato) Libraccio, che era il perno delle mie visite ai navigli. Libri usati al prezzo quasi dei nuovie personale disattento e totalmente incompetente (se non sui fumetti....no comment). Altro problema vero dei navigli ovviamente il sovraffolamento ele zanzare che nel periodo da primavera ad estate sono un vero flagello. Tutto sommato non raccomando i navigli per una serata, forse proprio perchèli ho veramente amati quando li frequentavo ed andavo alle Scimmie. Sicuramente meritevoli di qualcosa di originale e di non di quei mostruosi localida aperitivo senz'anima e caciari, rumorosi, volgari..",Tanto rumore per...nulla, 20 novembre 2019,Jet Lag,2.0,negative
4397,"Dato che avevamo letto di questo gioiello artistico nel cuore di Milano abbiamo deciso di visitarlo in proprio giovedi 14 settembre scorso nell'orario di apertura pubblicato ed esposto sulla porta della chiesa in Corso Magenta che i giovedi prevede la chiusura alle 22.00.Ci siamo presentati verso le 18.00, ma il sito, ahime', era chiuso. Abbiamo allora chiamato il numero telefonico della chiesa, chiedendo spiegazioni. Il signore che ha risposto ci ha detto che il sito per quel giorno ormai era stato chiuso dato che c'era lo sciopero dei mezzi pubblici (!!!!) e che lui ormai non era piu' li' e non c'era piu' niente da fare. Da notare che noi siamo arrivati regolarmente in metro da fuori Milano! Continuando ad ""arrampicarsi"" lo stesso signore ci ha suggerito di contattare il Touring Club Italiano, dato che erano loro che gestiscono le visite a San Maurizio. A questo punto abbiamo desistito.Ci dispiace quindi di aver perso questa occasione per visitare la chiesa di San Maurizio, ma ci dispiace ancora di piu' constatare che, in questo caso, la capacita' organizzativa di chi ha la responsabilita' dell'immagine turistica di Milano per i numerosi siti di cui potrebbe andare fiera, lascia molto a desiderare.",PESSIMA ORGANIZZAZIONE, 18 settembre 2017,Augusto B,1.0,negative
13854,"Duomo molto suggestivo gia da fuori... io e il mio compagno abbiamo scelto di vedere le terrazze usando le scale.... mai più!!!troppi scalini e con 30 gradi è stata una scelta pessima... consiglio di scegliere l ascensore,soprattutto d estate.. comunque tutto sommato bello.",Visita ok, 27 agosto 2019,Silvia C,3.0,neutral
1832,"Uno dei monumenti piu' famosi della citta'. Da non perdere. In parte danneggiato dai bombardamenti, mantiene inalterato il suo fascino",Splendida come da foto, 27 maggio 2019,stefano l,5.0,positive
5840,"Stavano facendo qualche lavoro, ma c’è un bel percorso pedonale, ma in primavera è meglio perché il laghetto era gelato e gli animali erano rintanati",Meglio in primavera , 27 febbraio 2018,lorenzaVogogna_vb_,3.0,neutral
9356,Abbiamo visitato il duomo sfruttando il fast track e visita guidata con Booking.Arrivati all'ingresso ci hanno indicato erroneamente lo sportello del fast track che dovevamo saltare vista la visita guidata inclusa. Arrivati finalmente alla sala delle colonne scopriamo che la visita era in inglese: booking riporta erroneamente doppia lingua. Per fortuna ci muniscono di audioguide che ci permettono di capire qualcosa.Il duomo è maestoso: il biglietto è costoso. Non è ammissibile spendere 50€ a coppia per una chiesa in continuo restauro causa smog.L'arte gotica è indiscutibilmente maestosa oltre che armonica.Avrei preferito godere di una visita guidata data la mole di cose da vedere.Sicuramente è poco storico aggiungere sempre del nuovo al duomo: occorre congelare la storia.Personalmente mi è rimasta indifferente.Giudicate voi. ,Arte che costa , 26 settembre 2019,S_Brontolo,2.0,negative
5162,"Ho prenotato l'ingresso alla cupola al centro visitatori lì vicino. Era l'1 novembre, c'era posto il 3 novembre (domenica) nel tardo pomeriggio. Noi ci siamo entrati verso le 19. Il posto è molto bello, già da fuori se ne intuisce la maestosità. Merita davvero una visita, anche perché è gratuita. Vengono fornite anche interessanti audio guide in lingua. Purtroppo del paesaggio esterno abbiamo visto poco perché la vetrata, a causa delle condizioni atmosferiche, era quasi interamente appannata.",Da visitare, 14 novembre 2019,StefaniaTp,4.0,positive
17435,Se non vai al Prado quando sei a MADRID fai un torto a te stesso.È uno dei musei più famosi al mondo quindi si Deve visitare.Ci sono varie sale e a me personalmente è piaciuto il settore NOBILTÀ SPAGNOLA del 600.Altro... insomma.Il settore commerciale (souvenir e varie) è fatto benissimo.CONSIGLIATO,Mi aspettavo di più.., 29 settembre 2018,GM,3.0,neutral
3357,"Come tutto a NY anche il parco è enorme, e anche qui bisogna scegliere cosa e quanto vederne, ma praticamente qualunque angolo ne vale la pena.",Non perdetelo, 24 agosto 2016,426Gui,5.0,positive
15167,"Struttura imponente e maestosa con rampe elicoidali di agevole accesso, consigliato a tutti anche con carrozzine, panorama di Berlino unico sia dall'interno che all'esterno dalla terrazza posta in cima alla cupola. Ingresso gratuito così come l'indispensabile audio guida. Prenotazione obbligatoria sia online 2 settimane prima  che al chiosco sul posto un giorno prima della visita, in questo caso senza la possibilita' di scelta dell'orario preferito. Consigliata la visita al tramonto.",Assolutamente da non perdere, 11 dicembre 2019,Petersimpol,5.0,positive
16584,"ormai resta poco di quella che era la parte di muro più caratteristica rimasta a Berlino, ""grazie"" alla costruzione di nuovi edifici lungo lo Spree e l'ignoranza dei soliti a cui piace lasciare scritte senza senso",il muro alla mercé del capitalismo, 6 maggio 2019,suanonna82,1.0,negative
12398,"Con una bella giornata un giro in bici nel parco è una delle cose più piacevoli che si possano organizzare. Prezzi abbordabili e una sosta sdraiati sull'erba guardando i grattacieli, non ha prezzo. Ce l'hanno a morte con i fumatori. A livello quasi patologico direi. ",Giro in bici, 16 maggio 2016,LUPORINI,5.0,positive
4354,"Merita passeggiare lungo questa galleria all'aperto, realizzata dopo la riunificazione della città, si ammirano opere d'arte ispirate alla pace, si può anche camminare lungo il fiume che talvolta qualcuno ha tentato di attraversare a nuoto per raggiungere la libertà.",Opere d'arte sulla pace su un segno di divisone, 7 agosto 2019,Michele B,5.0,positive
22,Me ne parlavano molto bene prima di andarci ma penso che non ci sia nulla di particolare almeno che non si voglia buttare soldi in aperitivi,una passeggiata come tante altre, 6 agosto 2016,PontonioG,3.0,neutral
13025,"Questa è una zona MOLTO sopravvalutata di Milano. Le guide e i siti descrivono un luogo vivace pieno di piccoli negozi indipendenti e studi di artisti. In effetti, è una brutta passerella lungo canali, certamente molto puliti, con caffè / ristoranti che superano in numero le altre attività commerciali di circa dieci a uno.Sostiene di essere pedonale, ma attenzione ai furgoni delle consegne e ai ciclisti che viaggiano ad alta velocità e non lasciano il passo a nessuno",Non preoccuparti di visitare la zona del canale/navigli., 19 maggio 2023,Exidia,2.0,negative
14033,"Si tratta di un museo che conserva prevalentemente opere spagnole, in particolare Velasquez, Goja, Murillo . C'e' anche qualche opera italiana , del Beato Angelico e del Tiziano per esempio. Non troppo entusiasmante",Museo abbastanza interessante, 5 ottobre 2022,monica p,3.0,neutral
13728,Bello ...ma preferisco moderno.. AL Thyssen c'era anche Beckamm molto colorato e particolare..menoale che al Prado sono entrato free...,Thyssen piu bello del Prado, 27 gennaio 2019,Luis Laudonia,3.0,neutral
11563,"Mia personalissima impressione. Non mi ha dato quel senso di smarrimento o riflessione che molte persone hanno scritto di provare. Non sò avrei pensato ad un sito ""diverso"" per ricordare quell'abominio. Ma ripeto è una mia personale impressione e rispetto molto i giudizi di altre persone che invece ne sono rimaste colpite.",mah.., 7 gennaio 2020,Max R,2.0,negative
8381,"Essendo un poco fuori mano non la consiglio in caso di viaggio breve. Invece se si vuole approfondire la storia, forse vale la pena ma è meglio un museo sull'argomento",Sì e no, 14 maggio 2019,Pd_rules,2.0,negative
12657,Prezzi stratosferici. Code x ore ed ore in ingresso. Totalmente disorganizzati. Da evitare in toto....,Code kilometriche.... Sconsigliato, 31 dicembre 2019,Eros V,1.0,negative
9537,Ho lavorato per anni a pochi passi da questa chiesa senza mai rendermi conto delle meraviglie che si nascondono dietro una facciata abbastanza anonima. Gli affreschi tolgono il fiato.,Poco conosciuta ma assolutamente da visitare, 16 marzo 2016,armrinaldi,5.0,positive
4321,Ho visitato il museo con alte aspettative che sono state appagate dalla magnificenza dell’intera esposizione di opere meravigliose. Tappa imperdibile per gli appassionati di arte o un motivo in più per iniziare ad esserlo!,Strepitoso, 31 agosto 2018,massimiliano l,5.0,positive
16091,Forse è il piu' bel parco che abbia mai visto. Con una bella bici lo attraversate tutto.Se andate a NY non perdetelo....,Da vedere., 29 aprile 2019,Sergio,5.0,positive
12925,"Ho prenotato on line i biglietti per la salita alle terrazze panoramiche in ascensore.Al momento di ritornare mi dicono che, per disposizioni Covid, la discesa va fatta con la scale.Trovo estremamente scorretto che una tale disposizione non fosse ben evidenziata prima dell'acquisto dei biglietti e neppure all'ingresso.Avendo un problema a un ginocchio la discesa non è stata piacevole.",Ascensore si e no, 5 giugno 2021,carlo a,2.0,negative
2591,"Vera icona di Milano, il Duomo non mi ha mai convinto del tutto da un punto di vista artistico, ma riveste enorme importanza storica e merita sicuramente la visita.Costruito nell'arco di secoli in uno stile gotico adattato al gusto italiano, è una chiesa imponente e slanciata al tempo stesso.L'interno è spazioso, impreziosito nell'abside da belle vetrate policrome, ma non particolarmente ricco di opere d'arte; notevoli le nervature delle volte ogivali che spiccano sul soffitto.Vicino all'ingresso, una scala introduce all'area archeologica sotto il pavimento, dove si possono vedere i resti di basiliche paleocristiane e di un battistero.Il biglietto d'ingresso, del costo di 15 €, si può fare online o alla biglietteria situata all'esterno, e consente l'accesso all'interno, all'area archeologica, alle terrazze panoramiche sul tetto e al museo.","Non un capolavoro, ma sempre interessante", 26 settembre 2022,elmart,3.0,neutral
15097,"Una delle più amate passeggiate dei milanesi, ma forse il posto meno attraente da vedere a Milano. È pieno di banchetti di ""roba vecchia"", tanta gente e decisamente sporco. Forse di sera si respira un'atmosfera più caratteristica e giovane, ma questa domenica mattina ci siamo ritrovati ad esserne delusi dopo soli 10 minuti ",No di domenica , 27 novembre 2016,Mac_e_Blu,2.0,negative
16207,"Atre a cielo aperto sul simbolo delle guerra fredda, una passeggiata di oltre un km dove poter ammirare bellissimi murales effettuati da artisti di tutto il mondo, ma che rende anche l'idea di come un popolo fu diviso da una guerra. ",Memoriale alla libertà, 19 maggio 2019,svavy75,5.0,positive
1170,Mi aspettavo di piu. Visto dall' empire o top of the rock sembra molto meglio. Meglio il nostro parco di monza.,Parco discreto, 17 ottobre 2016,Piero T,3.0,neutral
6665,Peccato malgrado la bellissima giornata di sole son rimasta delusa! Il canale era asciutto e sporco ! Tantissima gente visto che cera il mercato dell usato! Mangiato non molto bene ma pagato molto Peccato,canale asciutto, 25 febbraio 2014,silvy55,2.0,negative
1181,"zona di vita serale e notturna, molto turistica. Ci sono molti locali e ristoranti di ogni genere e prezzo. i navigli sono suggestivi, bene illuminati e abbastanza puliti. La darsena è meno frequentata e più tranquilla",animato e suggestivo, 21 gennaio 2018,giovannibagh,4.0,positive
3675,"Sarebbe un posto meraviglioso se le orde di barbari che non hanno educazione e rispetto per gli altri, non rovinassero questo spettacolare spicchio della città. Dovrebbe essere perennemente chiuso al traffico ma giustamente i residenti...Per chi è appassionato di cose vecchie ed a volte originali, si consiglia il mercatino dell'antiquariato una volta al mese ma attenzione i prezzi sono spesso superiori a quelli di altri mercatini!",Troppo rumore e caos, 21 febbraio 2012,Daniele M,2.0,negative
7457,Da non perdere questo monumento unico al mondo da visitare almeno una volta nella vita. Meglio arrivare presto perché le file d'attesa sono sempre lunghe!,Unico al mondo..!!, 19 aprile 2017,Enrico P,5.0,positive
11762,La bellezza della natura in un centro extra moderno è il giusto contrasto tra passato e presente in una città che non dorme mai,Immenso, 30 agosto 2018,emiliano s,5.0,positive
3960,"Piazza Duomo è Milano, negli ultimi anni sono stati fatti passi da gigante per quanto riguarda la pulizia e la sicurezza, si può salire sul tetto ed entrare nel duomo. Ci sono molti bei negozi intorno e alcuni locali rooftop carini",Semplicemente Milano, 11 ottobre 2019,LaSilvietta88,3.0,neutral
11093,"...un gioiello nascosto, in centro a Milano.Sulle rovine della Milano romana, questa chiesa e' un vero monumento al colore e alla bravura dei pittori che l'hanno decorata.Un consiglio? Lasciate perdere le pedanti visite guidate e perdetevi nelle policromie: la sindrome di Stendhal e' in agguato...","Bella, bellissima...", 2 novembre 2015,Luca A,5.0,positive
12975,"Il museo é una struttura enorme, per cui se avete intenzione di girarvela tutta, studiatevi un percorso intelligente da soli individuando le opere che maggiormente vi interessano. Nonostante la fama e l’enormità strutturale del museo, la disposizione delle opere é caoticissima e il loro valore culturale inestimabile in questo caos si disperde. Ineguagliabile la sala dedicata alle opere nere di Goya ( piano terra ): col senno di poi visiterei solo questa evitando di perdere tempo alla ricerca dell’introvabile.Non si possono fare fotografie e le indicazioni di accesso ai vari servizi ( guardaroba e toilette ad esempio) sono davvero poco chiare.",Un‘enormitá culturale svilita nel caos, 12 ottobre 2018,Ale L,2.0,negative
9091,Enorme parco tenuto benissimo. Un'oasi di verde nella caotica ma splendida New York. Adatto a tutti. Bellissimi gli uccellini che ti girano attorno e gli scoiattoli ,Bellissimo , 27 agosto 2016,Tellina2013,5.0,positive
2096,"Esternamente, bello. Per accedere alla cupola le modalità sono ampiamente descritte in altre recensioni, personalmente lo ritengo sicuramente un bel edificio, stile Tedesco/imponente, come del resto un po' tutti gli edifici storici di Berlino, ma facendo il paragone con edifici ""parlamento"", in paesi c'è ne sono molto più belli e particolari.","Bello, ma niente di ché", 6 novembre 2019,GLOM27,3.0,neutral
3724,"La zona potrebbe essere mooolto meglio. I due Navigli sono abbandonati a loro stessi e ai vandali che li usano come discarica. Addirittura c’era un’insegna stradale lanciata dentro. Belle le luminarie natalizie, ma niente di più. ",Potrebbe essere molto meglio, 21 dicembre 2017,Ermanno788,3.0,neutral
11097,"E' un distretto che vive H24 due vite parallele; di giorno le botteghe artigiane, i negozi, gli ateliers di pittura, le bancarelle, i mercatini; verso sera e di notte, essendo al centro della movida milanese,  le centinaia di wine bar, pizzerie, birrerie, ristorantini e locali con musica jazz. Da non perdere. Parcheggio difficoltoso, meglio usare i mezzi pubblici.-",La Milano di una volta, 22 ottobre 2014,roberto,4.0,positive
406,Uno dei monumenti più belli che abbia visto finora!!! Se siete a Berlino vi consiglio vivamente di visitare il memoriale degli ebrei assassinati in Europa. È veramente emozionante!!!,Emozionante, 19 gennaio 2019,Superosa,3.0,neutral
19941,"Stati mezza giornata, stancante ma ogni angolo merita e anche lo zoo per i bambini è carino da vedere.",Giro , 10 febbraio 2017,sigidima,3.0,neutral
15398,"Il significato di questo monumento è molto toccante, la parte più sensibile è che questi pilastri che cambiano altezza in base al scendere e salire della terra non c'è scritto nulla, sono di un colore scuro.Quello che non mi piace è che si trova in mezzo a una piazza qualsiasi, se non lo sai non ci passi nemmeno per di là.... Un posto immenso con una sola guardia che chiunque può fare qualsiasi cosa come salire sopra a questi pilastri perché la guardia non se ne accorge. Non c'è un cartello nulla che dia un significato a tutto ",Significativo ma niente di che, 9 aprile 2019,MirianaT,3.0,neutral
7861,"Questo centro di mondanità, locali e vita è particolarmente abbandonato a se stesso naviglio sporco, puzzolente e con oggetti che si presume non dovrebbero essere lì! Gente ce n'è e tanta, per via di locali con apeeicene a buffet a poco e simili. Qualità cocktail scarsa, cibo non ne parliamo servizio anche solo osservando praticamente assente ovunque... Non fa per me",Zona sopravvalutata, 23 maggio 2019,The Crow,2.0,negative
3416,"Sono stato a Central Park in occasione del mio recente viaggio a New York.Questo parco, su cui nutrivo grosse aspettative, mi ha sostanzialmente deluso.Sarà grandissimo, verdissimo, ecc, ma è anche trascuratissimo. Cartacce e rifiuti spesso la fanno da padrone a causa della diffusa inciviltà di residenti e turisti che non perdono occasione per lasciare un ""ricordo"" del loro passaggio.Ne consiglio comunque la visita, anche se parziale, visto che visitarlo per intero vi sottrarrebbe mezza giornata.Dedicate un po' di tempo ai simpatici scoiattoli che lo popolano, la vera attrazione sono loro.",Trascurato fino all'inverosimile, 8 gennaio 2019,Carlingo85,3.0,neutral
15831,"Non mi ha particolarmente  entusiasmato, ci sono edifici più  maestosi e raffinati. Conta il simbolo del passato.",Più simbolica che bella, 22 agosto 2019,Piero T,3.0,neutral
14223,"Affreschi meravigliosi, coinvolgenti, che mai ti aspetteresti considerando l'aspetto austero della facciata esterna. Un tripudio di colori che lascia incantati e spesso dinnanzi sostano guide pronte a fornire spiegazioni per una visita guidata. Ne vale veramente la pena.",La cappella sistina di Milano, 22 febbraio 2017,maylyth,5.0,positive
9348,Ripercorre le tappe dal nazismo alla fine della prima guerra mondiale. È  dislocata in un percorso fatto di pannelli in inglese e tedesco... audio guide sono disponibili all'entrata. È  gratuito. L'abbiamo visitato in una giornata di pioggia per cui era superaffollato e non abbiamo apprezzato la visita.. Decisamente più interessante la visita al museo sotto il monumento labirinto dedicato alla shoa.,Un passo nella storia, 6 gennaio 2018,Stefania C,3.0,neutral
113,"Troppa gente, troppo grande, nulla di che. Se volete vedere una bella piazza c’è Torino dove ogni piazza è un capolavoro",Niente di che, 18 marzo 2019,Francesco,1.0,negative
9726,"Giorno di Pasqua, faccio una gitarella a Milano. Il Duomo all'interno non lo avevo mai visto quindi vado a fare il biglietto. Alla biglietteria, postazioni automatiche, si possono scegliere due turni di visita: 12-14  e 14-16. Faccio il biglietto per il primo turno disponibile, dalle 12 alle 14. Alle 12 mi presento per entrare, dopo una breve coda. Peccato che l'addetto mi faccia presente che la visita è disponibile solo dalle 13, prima si può entrare come ""fedele"" ma molte aree del duomo, comprese nel biglietto, non sono visitabili. Ma allora perchè mi è stato venduto un biglietto con un turno di due ore dalle 12 alle 14, se poi il turno si riduce alla metà potendo entrare come visitatore solo dalle 13? Comunque ritorno alle 13 e mi rimetto in coda, ormai parecchio lunga. Un'addetta passa lungo la coda e comincia a dire che non è in grado di garantire l'ingresso a tutti, troppa coda e il Duomo chiude le visite entre le 15.30. Se si vuole provare si può stare in coda, ma non è garantito l'ingresso. E per fortuna che c'era anche un turno successivo dalle 14 alle 16 alla biglietteria!Quindi in sintesi ho comprato un biglietto con una fascia oraria, che in realtà non era poi rispettata, e ho pagato un biglietto per non riuscire a visitare il Duomo. Complimenti Milano, organizzazione perfetta! Andate a studiare all'estero come far funzionare le cose che è meglio.....","Solita organizzazione ""all'italiana""....", 30 aprile 2019,Roberto S,2.0,negative
3583,volevo fare una visita al duomo.. ma controlli necessari e fila ... mi han bloccato.. ma il vero problema è dover pagare un biglietto per una visita a un luogo possibilmente di culto aperto a tutti... lo trovo immorale a prescindere.. dovrebbero bastare le offerte... o no!!,perchè, 6 gennaio 2019,Massimo P,1.0,negative
7643,Purtroppo non sono riuscito ad entrarci perchè nel periodo in cui sono andato era già prenotato. Vi consiglio di prenotare con largo anticipo appena decidete di andare a Berlino perchè i posti per le visite si chiudono rapidamente. Dall'esterno sembra bello da vedere. ci riproverò,prenotare per la cupola!, 7 marzo 2019,Sog77,3.0,neutral
7277,"Non c'è nulla di più bello che passeggiare la sera per i navigli di Milano! Gente, locali, pub uno diverso dall'altro! Ottimo ritrovo per amici ma anche passeggiate in famiglia!",Il top per la sera, 7 settembre 2016,Luca_e_Fede28,5.0,positive
11480,da molti e come valutazione totale sembra che valga più del Duomo.A mio parere l'interno è davvero sorprendente ma la dimensione e la logistica lasciano a desiderare.,meglio del Duomo!??, 10 febbraio 2016,GusToro,3.0,neutral
18901,"Altra tappa da raggiungere assolutamente! Struttura imponente, molto ben tenuta, resa ancor più bella e particolare dal contrato tra la struttura più antica e classica e quella a forma di alveare in vetro ! Inoltre spazi molto ampi nell'esterno.",Imponente, 19 febbraio 2020,AlTrip1987,5.0,positive
378,"Non si discute naturalmente la bellezza del luogo ma l’organizzazione a due poco pessima dell’ingresso e della visita. Fatto il biglietto per la visita alle guglie per 3 adulti . Abbiamo una bimba di 6 mesi con passeggino quindi scegliamo l’ascensore. Facciamo la fila quando stiamo per entrare ci comunicano che il passeggino va chiuso e portato con noi . Pensavamo di poter salire con il passeggino visto che avevamo prenotato apposta l ascensore. Non c’è un posto per lasciarlo, dobbiamo quindi prendere in braccio la bimba è chiudere il passeggino portandoli su inutilmente! Sempre all’entrata ci comunicano che il secondo piano è inagibile per ghiaccio! Quindi ci propongono di tornare verso le 14 che si sarebbe sciolto. Ok torniamo ma niente è cambiato quindi pur avendo pagato un biglietto intero vediamo la metà di ciò che abbiamo pagato! Andiamo per riprendere l ascensore e ci dicono che la discesa è con le scale! Ma noi abbiamo pagato per l ascensore!!!! A questo punto rifiutandovi di scendere con una bimba in braccio e un passeggino chiuso comunque pesante piantiamo una grana e decidiamo di rifare tutto il percorso per scendere in ascensore.  Alle nostre accese rimostranze l’ascensore ci accorda gentilmente il privilegio di usare l’ascensore. Non immaginavo tanta approssimazione ! Estremamente delusa !",Organizzazione inqualificabile, 14 dicembre 2021,PaolaDepi62,1.0,negative
16492,"Fossero tenuti bene e puliti sarebbero da 4 stelle, ma essendo un po' degradati (soprattutto d'estate si nota il degrado) non me la sento di dare un gran punteggio.La vita notturna c'è (soprattutto aperitivi e bar), ma non è tutto sommato chissà cosa, per una metropoli come Milano.",Fossero tenuti bene..., 11 novembre 2014,Mywie,2.0,negative
16544,"Un vero capolavoro.Consiglio oltra alla visita interna con audioguida, anche l'ascensore per salire sulle terrazze (possibilmente in una giornata tersa) per godere di una vista mozzafiato sul centro di Milano.",Capolavoro, 11 marzo 2019,cosmic0,5.0,positive
18954,"La passeggiata lungo i  navigli ha il suo fascino, ma manca un vero progetto di viabilità e soprattutto..un po' di verde...tutto sommato, è una particolarità tutta milanese...certamente da da riqualificare ma con ottime potenzialità...bella scoperta però per chi non è del posto trovarsi per caso a passare di lì....;)",potenzialità da riqualificare, 27 gennaio 2012,Laura C,3.0,neutral
10921,Se arrivi dal 5 Strada ci si entra quasi per caso....ma poi ti rendi conto di quanto sia grande solo camminando.......,Polmone verde in città, 3 dicembre 2015,AnimaLatina,5.0,positive
17652,"Splendida location, un sacco di ristorantini e bar dove mangiare, un sacco di negozietti per fare shopping, un sacco di gente, musica, ecc.; peccato solo per il protrarsi dei lavori per l'Expo che sottraggono quasi tutto il piacere di essere in un angolo di Milano così ... diverso!!!","ahimè, lavori in corso", 3 ottobre 2014,Patrizia F,3.0,neutral
11275,X me questo parco e qualcosa di unico ti rimane dentro quando torni ho preso anche la barchetta nel lago bellissimo,Magnifico, 17 agosto 2017,annageda1,4.0,positive
16867,"La chiesa di San Maurizio è un vero gioiello, completamente affrescata e restaurata di recente. Credo sia una tappa imperdibile per chi visita Milano!",Meravigliosa, 23 novembre 2016,Guido B,5.0,positive
10700,"E' immenso e bellissimo, sempre frequentato da turisti e locali per tantissime attività. Averlo visto ricoperto dalla neve, poi, era un sogno che si è avverato!","Il ""Parco""", 23 agosto 2017,Daniela15_1,5.0,positive
7434,"New York è impegnativa, rumorosa, caotica, faticosa, estesa, a tratti torrida e pregna di odori forti. Qui si ritrova una tregua per ricominciare. Simpaticissimi e socievoli scoiattoli ovunque!",Tirare il fiato, 1 settembre 2015,clonet826,5.0,positive
