Name,OVR,Stat1_PAC_GK-DIV,Stat2_SHO_GK-HAN,Stat3_PAS_GK-KIC,Stat4_DRI_GK-REF,Stat5_DEF_GK-SPD,Stat6_PHY_GK-POS,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Alternative positions,Age,Nation,League,Team,play style,Height_cm,Weight_kg
Thibaut Courtois,89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,44,14,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,GK,3,1,Left,None,32,Belgium,LALIGA EA SPORTS,Real Madrid,"1v1 Close Down+, Cross Claimer, Far Throw",200.0,96.0
Lautaro Martínez,89,82,88,75,87,54,85,84,80,92,93,87,80,92,74,79,68,65,79,73,80,85,89,92,92,89,88,48,86,55,51,44,93,83,85,87,ST,4,4,Right,None,27,Argentina,Serie A Enilive,Lombardia FC,"Finesse Shot+, Power Shot, Relentless, Technical",174.0,72.0
Virgil van Dijk,89,78,60,71,71,89,86,66,87,47,52,81,64,45,62,67,53,70,80,86,60,70,54,50,88,77,90,88,87,90,91,86,89,72,93,85,CB,3,2,Right,None,33,Holland,Premier League,Liverpool,"Aerial+, Anticipate, Block, Bruiser, Jockey, Long Ball Pass, Power Header",193.0,92.0
Marc-André ter Stegen,89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,21,39,43,85,30,70,22,11,25,13,10,72,35,78,43,GK,4,1,Right,None,32,Germany,LALIGA EA SPORTS,FC Barcelona,"Footwork+, 1v1 Close Down",187.0,85.0
Mohamed Salah,89,89,87,82,88,45,75,89,89,92,90,82,84,83,81,85,80,69,86,77,84,88,89,91,93,86,88,55,59,38,43,41,79,87,73,63,RW,3,4,Left,RM,32,Egypt,Premier League,Liverpool,"Finesse Shot+, Chip Shot, Rapid, Trivela",175.0,72.0
Phil Foden,88,86,86,85,90,57,63,89,83,85,88,89,89,59,64,86,80,74,88,84,88,90,92,92,85,91,86,59,47,60,59,47,66,83,53,64,RW,3,4,Left,"LW, CAM, RM",24,England,Premier League,Manchester City,"Technical+, First Touch, Flair",171.0,69.0
Lionel Messi,88,79,85,87,92,33,64,86,73,89,85,83,87,86,75,90,80,92,87,86,93,93,90,95,85,93,94,40,60,20,35,24,71,70,68,44,RW,4,4,Left,"ST, CAM, RM",37,Argentina,MLS,Inter Miami CF,"Technical+, Dead Ball, Finesse Shot, Incisive Pass, Quick Step, Tiki Taka, Trivela",169.0,67.0
Antoine Griezmann,88,80,88,87,89,59,75,81,80,90,90,85,87,86,79,88,82,85,89,86,89,88,89,84,90,91,89,59,85,45,63,64,85,86,69,74,ST,3,4,Left,None,33,France,LALIGA EA SPORTS,Atlético de Madrid,"Finesse Shot+, Acrobatic, Chip Shot, Flair, Incisive Pass, Technical, Trivela",176.0,73.0
Rúben Dias,88,67,39,70,69,89,87,65,68,39,29,74,26,32,45,64,54,48,85,81,46,64,62,56,89,75,86,87,87,90,90,87,88,78,90,88,CB,4,2,Right,None,27,Portugal,Premier League,Manchester City,"Bruiser+, Power Header",187.0,82.0
Robert Lewandowski,88,75,88,79,86,44,84,76,75,90,90,89,82,86,90,81,76,84,84,70,79,85,77,83,89,90,87,49,88,35,42,19,92,76,89,81,ST,4,4,Right,None,36,Poland,LALIGA EA SPORTS,FC Barcelona,"Chip Shot+, Finesse Shot, First Touch, Incisive Pass, Power Header, Power Shot, Trivela",185.0,81.0
Federico Valverde,88,88,82,84,84,80,84,84,91,86,78,91,87,74,59,86,78,69,87,88,74,83,77,68,89,88,84,83,63,79,85,80,83,92,82,81,CM,4,3,Right,RM,26,Uruguay,LALIGA EA SPORTS,Real Madrid,"Power Shot+, Long Ball Pass, Rapid, Relentless, Trivela",182.0,78.0
Ederson,88,87,82,91,87,64,86,64,63,20,14,68,18,18,65,70,20,20,65,68,39,30,60,48,88,45,70,27,14,29,15,8,79,44,78,38,GK,3,1,Left,None,31,Brazil,Premier League,Manchester City,"Long Ball Pass+, Cross Claimer, Pinged Pass",188.0,86.0
Bernardo Silva,88,75,78,86,92,71,69,83,69,85,78,79,79,78,64,87,84,67,91,82,84,93,95,92,89,92,89,73,54,70,76,68,68,93,54,78,CM,3,4,Left,RW,30,Portugal,Premier League,Manchester City,"Technical+, Flair, Relentless, Tiki Taka, Trivela, Whipped Pass",173.0,64.0
Jan Oblak,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,GK,3,1,Right,None,31,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,"Far Reach+, Cross Claimer, Far Throw",188.0,87.0
Antonio Rüdiger,88,82,55,73,70,86,86,71,91,54,40,84,67,34,40,61,68,56,84,81,50,69,56,50,86,74,80,85,83,86,88,87,89,70,91,92,CB,3,2,Right,None,31,Germany,LALIGA EA SPORTS,Real Madrid,"Bruiser+, Acrobatic, Aerial, Block, Jockey",190.0,86.0
Florian Wirtz,88,81,78,87,89,50,67,81,81,83,79,78,79,80,64,91,84,69,91,87,82,90,87,87,88,90,85,44,42,58,49,44,64,87,59,63,CAM,4,4,Right,LM,21,Germany,Bundesliga,Leverkusen,"Incisive Pass+, Chip Shot, Finesse Shot, First Touch, Flair, Technical, Trivela",177.0,71.0
Gregor Kobel,88,87,86,73,89,44,87,38,52,10,10,55,10,10,12,59,13,12,39,33,13,24,37,29,86,34,66,14,13,15,15,15,71,30,81,24,GK,3,1,Right,None,26,Switzerland,Bundesliga,Borussia Dortmund,"1v1 Close Down+, Deflector, Far Throw",195.0,88.0
William Saliba,87,82,39,70,74,87,83,77,86,43,35,60,23,34,47,62,58,35,84,78,55,74,53,46,86,82,85,86,79,88,89,86,89,72,87,83,CB,3,2,Right,None,23,France,Premier League,Arsenal,"Anticipate+, Jockey",193.0,85.0
Victor Osimhen,87,89,84,65,81,42,82,85,92,92,88,86,74,83,75,70,62,52,72,54,63,80,78,67,89,84,80,34,86,36,45,22,94,81,86,68,ST,4,3,Right,None,25,Nigeria,Serie A Enilive,SSC Napoli,"Acrobatic, Chip Shot, Power Header, Rapid",186.0,77.0
Jamal Musiala,87,84,81,78,90,63,64,86,83,86,84,80,79,73,59,84,67,59,84,79,75,94,93,93,87,84,83,65,49,64,63,66,69,78,59,59,CAM,4,5,Right,"LM, CM",21,Germany,Bundesliga,FC Bayern München,"Technical+, Flair, Incisive Pass, Trickster",184.0,72.0
Bukayo Saka,87,85,83,81,88,60,70,88,83,82,84,79,83,79,87,86,85,69,83,70,84,89,85,88,85,88,82,62,49,60,62,60,71,86,63,68,RW,4,3,Left,RM,23,England,Premier League,Arsenal,"Finesse Shot, Flair, Technical, Whipped Pass",178.0,65.0
Paulo Dybala,87,80,85,84,89,41,65,84,76,83,84,84,86,92,88,88,83,87,84,79,89,89,88,90,84,91,87,42,65,32,42,39,77,74,67,48,CAM,3,5,Left,ST,30,Argentina,Serie A Enilive,AS Roma,"First Touch+, Dead Ball, Finesse Shot, Flair, Incisive Pass, Technical, Trivela",177.0,75.0
Theo Hernández,87,95,76,78,84,81,89,95,95,80,71,86,76,80,75,75,84,75,81,70,80,84,83,81,85,85,80,80,77,78,86,80,95,92,88,86,LB,3,4,Left,LM,26,France,Serie A Enilive,Milano FC,"Bruiser+, Anticipate, Long Throw, Quick Step, Rapid, Relentless",184.0,81.0
Neymar Jr,87,85,79,84,92,37,60,86,84,81,80,77,75,84,85,85,81,87,85,80,86,94,90,83,78,93,92,37,63,35,32,29,72,73,52,63,LW,5,5,Right,"CAM, LM",32,Brazil,ROSHN Saudi League,Al Hilal,"Trickster+, First Touch, Flair, Incisive Pass, Technical, Trivela",175.0,68.0
Declan Rice,87,73,72,82,79,84,85,71,75,71,64,84,82,50,71,79,79,65,85,86,81,82,55,65,85,84,86,86,72,85,86,85,82,92,81,85,CDM,3,3,Right,CM,25,England,Premier League,Arsenal,"Block, Intercept, Long Ball Pass, Press Proven",185.0,80.0
Frenkie de Jong,87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,87,79,88,89,90,82,72,76,76,77,82,89,74,74,CM,3,4,Right,CDM,27,Holland,LALIGA EA SPORTS,FC Barcelona,"Trivela+, Flair, Incisive Pass, Long Ball Pass, Press Proven, Tiki Taka",181.0,74.0
Mike Maignan,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,65,18,16,64,61,38,30,60,56,85,40,68,25,17,23,16,19,82,39,83,35,GK,4,1,Right,None,29,France,Serie A Enilive,Milano FC,"Deflector+, Cross Claimer, Far Throw",191.0,89.0
Bruno Fernandes,87,70,85,88,83,65,75,72,68,87,84,86,85,87,90,94,82,82,89,90,85,83,78,76,90,86,79,63,63,62,71,66,70,95,61,84,CAM,3,4,Right,CM,30,Portugal,Premier League,Man Utd,"Long Ball Pass+, Dead Ball, First Touch, Flair, Incisive Pass, Pinged Pass, Relentless",179.0,69.0
Heung Min Son,87,87,89,81,85,42,73,86,88,91,90,89,89,83,75,82,84,74,83,72,87,87,81,74,90,85,88,39,72,45,34,33,82,88,69,62,ST,5,4,Right,LM,32,Korea Republic,Premier League,Spurs,"Finesse Shot+, Quick Step, Rapid",183.0,78.0
Marquinhos,87,79,56,75,74,89,81,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,CB,3,3,Right,None,30,Brazil,Ligue 1 McDonald's,Paris SG,"Intercept+, Aerial, Anticipate, Jockey, Power Header",183.0,75.0
Alessandro Bastoni,87,75,43,75,76,87,83,72,78,39,34,59,48,44,50,72,72,41,80,84,64,74,64,61,87,83,85,88,86,87,87,85,89,81,83,83,CB,3,2,Left,None,25,Italy,Serie A Enilive,Lombardia FC,"Intercept+, Anticipate, Jockey, Long Ball Pass, Pinged Pass",190.0,75.0
İlkay Gündoğan,87,62,83,85,87,74,73,65,60,86,85,81,84,75,80,86,77,80,89,85,86,88,77,77,86,91,87,78,50,77,78,67,67,75,73,70,CM,4,4,Right,CDM,33,Germany,Premier League,Manchester City,"First Touch+, Incisive Pass, Press Proven, Tiki Taka",180.0,80.0
Emiliano Martínez,87,84,82,83,86,56,87,55,57,12,16,62,16,13,43,67,22,20,61,59,22,23,54,49,84,43,69,21,26,25,20,20,79,40,78,37,GK,4,1,Right,None,32,Argentina,Premier League,Aston Villa,"1v1 Close Down+, Footwork",195.0,88.0
Nicolò Barella,87,81,78,83,86,80,82,85,78,83,76,80,79,80,73,84,79,67,88,85,79,82,91,92,90,88,86,84,60,80,83,81,79,93,74,87,CM,4,3,Right,CDM,27,Italy,Serie A Enilive,Lombardia FC,"Relentless+, Anticipate, Intercept, Pinged Pass, Press Proven, Slide Tackle",172.0,68.0
Yann Sommer,87,83,84,85,89,50,86,48,54,15,13,64,12,8,24,64,13,13,40,36,12,15,55,58,84,25,54,21,10,9,19,12,68,45,68,38,GK,4,1,Right,None,35,Switzerland,Serie A Enilive,Lombardia FC,Far Reach+,183.0,77.0
Cristiano Ronaldo,86,77,88,77,80,34,77,73,80,90,87,92,85,83,90,78,78,76,79,70,79,77,76,61,87,86,92,29,87,24,32,24,94,80,79,62,ST,4,5,Right,None,39,Portugal,ROSHN Saudi League,Al Nassr,"Power Shot+, Acrobatic, Aerial, Flair, Power Header, Trickster, Trivela",187.0,85.0
Gabriel,86,69,41,63,61,86,82,61,76,44,37,62,30,28,40,59,38,27,80,76,47,54,51,37,85,71,74,86,87,87,86,86,86,71,86,87,CB,2,2,Left,None,26,Brazil,Premier League,Arsenal,"Bruiser+, Aerial, Power Header",190.0,87.0
Granit Xhaka,86,50,75,85,74,79,82,48,52,76,67,90,84,55,65,84,77,78,89,90,80,73,51,61,86,83,81,79,68,82,79,78,70,83,78,93,CDM,3,3,Left,CM,31,Switzerland,Bundesliga,Leverkusen,"Long Ball Pass+, Bruiser, Finesse Shot, Incisive Pass, Power Shot, Slide Tackle",186.0,80.0
Rodrygo,86,89,81,79,88,31,64,90,88,84,86,76,77,67,82,83,79,73,80,73,80,89,87,84,84,87,85,21,67,24,34,30,77,81,59,54,RW,4,4,Right,"ST, RM",23,Brazil,LALIGA EA SPORTS,Real Madrid,"Dead Ball, Finesse Shot, Flair, Technical",174.0,64.0
João Cancelo,86,81,73,85,85,80,72,86,77,81,69,80,79,62,52,85,87,69,87,79,87,85,79,78,84,87,85,81,72,79,83,79,80,88,62,76,LB,4,4,Right,"RB, RM",30,Portugal,ROSHN Saudi League,Al Hilal,"Block, First Touch, Flair, Technical, Trivela, Whipped Pass",182.0,74.0
Rafael Leão,86,94,79,80,87,28,77,94,94,76,83,80,75,74,63,84,84,60,83,70,79,88,85,84,84,87,83,24,72,22,24,21,90,75,83,60,LW,4,5,Right,"LM, ST",25,Portugal,Serie A Enilive,Milano FC,"Rapid+, Finesse Shot, Flair, Incisive Pass, Quick Step, Trickster, Whipped Pass",188.0,81.0
Grimaldo,86,74,73,88,85,76,71,77,71,79,67,84,83,63,54,85,93,89,87,85,89,85,84,86,86,86,83,79,62,76,78,74,73,90,63,69,LM,2,4,Left,"LB, LW",28,Spain,Bundesliga,Leverkusen,"Whipped Pass+, Dead Ball, Finesse Shot",171.0,68.0
Luka Modrić,86,72,76,88,87,71,64,75,69,76,72,79,82,76,83,90,86,78,90,90,85,84,92,92,85,90,91,79,55,70,73,72,67,76,58,62,CM,4,4,Right,"CAM, CDM",39,Croatia,LALIGA EA SPORTS,Real Madrid,"Trivela+, Incisive Pass, Long Ball Pass, Technical, Whipped Pass",172.0,66.0
Alexis Mac Allister,86,69,82,85,84,76,76,71,67,80,79,88,82,77,86,86,79,82,87,86,83,84,82,83,85,86,84,78,61,77,79,73,72,87,69,83,CM,3,3,Right,CDM,25,Argentina,Premier League,Liverpool,"Pinged Pass+, Dead Ball, Incisive Pass, Power Shot, Press Proven",176.0,72.0
Carvajal,86,81,58,79,81,81,79,82,81,75,56,68,52,53,45,78,85,47,84,74,77,78,78,84,85,85,83,81,76,80,84,83,85,84,74,85,RB,3,3,Right,None,32,Spain,LALIGA EA SPORTS,Real Madrid,"Block, Whipped Pass",173.0,73.0
Ousmane Dembélé,86,92,75,82,88,41,57,94,91,80,72,83,74,76,75,85,86,64,83,78,84,89,94,81,82,87,82,38,43,42,42,34,65,69,52,54,RW,5,5,Left,"CAM, RM",27,France,Ligue 1 McDonald's,Paris SG,"Rapid+, Flair, Pinged Pass, Quick Step, Trickster",178.0,67.0
Trent Alexander-Arnold,86,75,72,90,80,80,74,72,78,79,64,85,76,68,66,89,93,85,89,92,88,79,73,72,85,85,82,84,69,78,82,78,75,89,68,69,RB,4,3,Right,None,25,England,Premier League,Liverpool,"Whipped Pass+, Dead Ball, Incisive Pass, Long Ball Pass, Relentless",180.0,72.0
Pedri,86,77,69,82,88,70,74,79,76,79,72,68,68,56,53,88,68,62,88,86,79,87,88,90,87,88,87,73,50,68,77,65,73,87,73,62,CM,4,4,Right,LW,21,Spain,LALIGA EA SPORTS,FC Barcelona,"Incisive Pass+, First Touch, Long Ball Pass, Relentless, Technical, Tiki Taka",174.0,60.0
Jonathan Tah,86,71,38,60,62,86,84,53,86,36,32,60,26,53,38,56,39,27,78,68,37,60,49,40,84,67,79,83,87,87,87,81,86,69,92,83,CB,3,2,Right,None,28,Germany,Bundesliga,Leverkusen,Aerial,195.0,94.0
Karim Benzema,86,77,85,81,84,38,77,76,77,88,87,87,81,87,68,86,75,73,86,76,82,84,77,72,84,87,84,39,87,43,24,18,84,80,81,63,ST,4,4,Right,None,36,France,ROSHN Saudi League,Al Ittihad,"Finesse Shot, First Touch, Incisive Pass, Relentless, Trivela",185.0,81.0
Bremer,86,82,50,58,66,86,85,78,86,58,49,68,39,38,43,45,46,24,75,69,42,62,65,67,79,68,78,84,87,87,87,84,94,75,89,84,CB,2,2,Right,None,27,Brazil,Serie A Enilive,Juventus,"Aerial, Block, Bruiser, Intercept, Long Ball Pass, Power Header",187.0,84.0
Joshua Kimmich,86,69,74,88,84,81,77,77,62,78,68,78,83,69,69,85,91,79,88,91,85,82,83,84,88,85,86,85,72,81,82,83,79,88,68,86,RB,4,3,Right,"CDM, CM",29,Germany,Bundesliga,FC Bayern München,"Long Ball Pass+, Anticipate, Finesse Shot, Press Proven, Relentless, Whipped Pass",177.0,75.0
Unai Simón,86,85,81,78,86,49,85,48,50,14,14,59,13,17,24,48,16,14,38,34,20,12,37,47,82,16,46,26,18,11,18,12,74,44,76,29,GK,3,1,Right,None,27,Spain,LALIGA EA SPORTS,Athletic Club,"1v1 Close Down, Footwork, Long Ball Pass, Pinged Pass",190.0,89.0
Manuel Neuer,86,83,81,90,83,49,88,48,50,12,13,68,16,11,49,70,15,11,60,68,14,30,51,35,84,44,70,30,25,17,10,11,77,43,80,29,GK,4,1,Right,None,38,Germany,Bundesliga,FC Bayern München,"Pinged Pass+, Far Throw, Long Ball Pass",193.0,93.0
Hakan Çalhanoğlu,86,71,80,87,85,79,76,74,68,74,75,86,87,74,90,89,78,85,89,89,88,84,83,80,86,88,85,82,65,80,81,78,76,81,72,80,CDM,5,4,Right,CM,30,Turkey,Serie A Enilive,Lombardia FC,"Incisive Pass+, Anticipate, First Touch, Technical",178.0,69.0
David Alaba,85,79,71,83,80,85,77,78,79,73,62,82,78,67,79,78,83,85,88,80,76,77,76,78,88,83,84,87,77,89,84,83,86,73,78,77,CB,4,3,Left,LB,32,Austria,LALIGA EA SPORTS,Real Madrid,"Anticipate, Dead Ball, Long Ball Pass",180.0,78.0
Ronald Araujo,85,82,53,64,62,85,84,76,86,56,56,68,35,38,43,59,58,45,75,66,47,55,56,55,84,68,76,85,85,84,85,85,92,72,87,87,CB,3,2,Right,RB,25,Uruguay,LALIGA EA SPORTS,FC Barcelona,"Block+, Acrobatic, Anticipate, Jockey, Power Header, Slide Tackle",188.0,79.0
Julian Brandt,85,71,79,85,86,50,70,69,72,82,80,82,80,79,55,87,82,76,87,83,80,86,83,83,86,87,84,56,54,49,45,56,69,85,72,45,CAM,4,4,Right,"RM, CM",28,Germany,Bundesliga,Borussia Dortmund,"Tiki Taka+, Dead Ball, First Touch, Flair, Incisive Pass, Technical, Trivela",185.0,83.0
Éder Militão,85,85,50,69,71,85,82,81,88,64,48,62,42,34,60,59,69,40,78,76,60,70,70,62,84,72,76,85,86,85,86,85,91,85,79,83,CB,3,2,Right,None,26,Brazil,LALIGA EA SPORTS,Real Madrid,"Aerial, Block, Intercept, Long Ball Pass, Power Header",186.0,78.0
Bruno Guimarães,85,68,75,83,84,79,83,69,68,78,72,79,82,66,65,85,76,62,87,87,81,85,78,84,84,85,87,80,66,78,82,79,77,88,79,87,CDM,2,3,Right,CM,26,Brazil,Premier League,Newcastle Utd,"Trivela+, Flair, Incisive Pass, Long Ball Pass, Press Proven",182.0,74.0
Alexander Isak,85,85,84,73,86,39,74,83,87,86,87,82,78,79,83,80,68,65,78,60,75,88,80,69,85,87,86,38,78,35,34,29,88,78,77,58,ST,5,4,Right,None,24,Sweden,Premier League,Newcastle Utd,"Finesse Shot, First Touch, Flair, Rapid",192.0,77.0
N'Golo Kanté,85,76,65,73,80,85,78,79,74,72,64,71,65,56,54,77,68,49,80,74,49,78,78,93,87,81,82,88,54,88,90,86,73,82,72,87,CDM,3,2,Right,CM,33,France,ROSHN Saudi League,Al Ittihad,"Intercept+, Press Proven, Relentless",168.0,70.0
Jules Koundé,85,84,45,70,75,86,80,85,83,47,47,48,40,32,43,62,68,26,82,75,55,72,71,74,86,77,82,86,80,87,86,84,90,78,80,78,RB,3,3,Right,CB,25,France,LALIGA EA SPORTS,FC Barcelona,"Jockey+, Quick Step, Relentless, Slide Tackle",180.0,75.0
Khvicha Kvaratskhelia,85,86,79,80,86,41,71,85,86,84,80,78,83,64,65,83,78,65,83,76,83,88,86,75,84,87,79,40,62,38,39,34,78,77,70,62,LW,5,5,Right,"RW, LM",23,Georgia,Serie A Enilive,SSC Napoli,"Finesse Shot, Flair, Incisive Pass, Technical, Trickster, Trivela",183.0,70.0
Vitinha,85,72,77,84,87,73,68,75,69,77,77,76,83,62,73,85,78,68,88,85,81,87,91,88,85,87,88,80,52,74,77,68,66,81,59,77,CM,3,3,Right,CDM,24,Portugal,Ligue 1 McDonald's,Paris SG,"Tiki Taka+, Finesse Shot, Intercept, Technical",172.0,64.0
James Maddison,85,71,81,86,86,54,63,77,66,85,80,83,83,77,74,88,83,86,86,85,86,86,84,83,80,88,88,44,35,59,65,42,57,78,53,70,CAM,4,4,Right,RM,27,England,Premier League,Spurs,"Dead Ball, Finesse Shot, Flair, Incisive Pass, Trivela",175.0,73.0
Riyad Mahrez,85,79,81,81,88,39,62,83,76,83,81,82,82,76,73,83,81,80,83,75,85,88,91,90,82,90,81,39,56,45,34,22,71,79,58,48,RM,4,5,Left,RW,33,Algeria,ROSHN Saudi League,Al Ahli,"Finesse Shot, First Touch, Flair, Technical",179.0,67.0
Giorgi Mamardashvili,85,86,83,72,85,48,85,48,48,8,9,54,7,7,11,34,13,10,20,20,11,11,40,26,74,22,26,8,14,5,12,10,71,45,74,25,GK,3,1,Left,None,23,Georgia,LALIGA EA SPORTS,Valencia CF,"Cross Claimer, Far Throw",199.0,88.0
Mikel Merino,85,72,79,82,82,83,82,72,72,83,79,85,79,58,70,83,77,69,86,84,80,83,74,73,86,85,80,85,87,80,84,76,88,83,80,83,CM,3,3,Left,CAM,28,Spain,Premier League,Arsenal,"Aerial, Incisive Pass, Power Shot, Relentless",189.0,83.0
Sergej Milinković-Savić,85,64,80,81,82,78,88,62,66,81,82,83,81,74,59,81,71,78,86,86,81,85,62,63,83,87,84,78,86,77,77,79,88,92,90,79,CM,5,4,Right,CDM,29,Serbia,ROSHN Saudi League,Al Hilal,"Aerial, First Touch, Incisive Pass, Power Header, Relentless, Trivela",192.0,95.0
Loïs Openda,85,93,84,69,81,31,79,94,92,86,87,85,77,78,75,69,69,53,75,59,66,79,82,85,84,83,81,26,79,29,23,19,93,79,80,74,ST,4,3,Right,None,24,Belgium,Bundesliga,RB Leipzig,"Finesse Shot, Quick Step, Rapid, Trivela",177.0,75.0
Palhinha,85,52,68,72,74,85,90,54,50,69,66,81,67,55,57,72,60,45,79,80,66,77,51,50,79,80,84,86,81,83,88,87,84,87,90,95,CDM,4,2,Right,CM,29,Portugal,Bundesliga,FC Bayern München,"Bruiser+, Long Ball Pass, Slide Tackle",190.0,83.0
Cole Palmer,85,75,82,83,86,50,66,73,77,86,84,81,80,67,89,86,78,74,86,82,85,88,78,75,84,87,87,52,62,45,53,40,71,78,61,60,RM,3,4,Left,"CAM, RW",22,England,Premier League,Chelsea,"Finesse Shot, First Touch, Flair, Incisive Pass, Technical, Whipped Pass",189.0,74.0
Andrew Robertson,85,78,61,82,79,81,78,79,78,78,55,76,65,32,55,82,87,71,83,76,82,78,75,74,85,82,83,81,67,82,83,81,76,93,67,85,LB,2,3,Left,None,30,Scotland,Premier League,Liverpool,"Relentless+, Rapid, Whipped Pass",178.0,64.0
Leroy Sané,85,90,83,80,86,37,70,89,91,82,83,87,81,84,65,81,81,80,82,72,83,87,87,82,83,85,83,34,64,36,32,35,72,78,67,65,RM,2,4,Left,"LM, RW",28,Germany,Bundesliga,FC Bayern München,"Finesse Shot, Flair, Power Shot, Quick Step, Rapid",183.0,80.0
Nico Schlotterbeck,85,77,59,70,73,85,82,78,76,58,51,75,66,56,38,72,53,41,78,85,52,74,68,64,83,71,78,83,85,85,87,86,91,74,84,83,CB,2,2,Left,None,24,Germany,Bundesliga,Borussia Dortmund,"Slide Tackle+, Anticipate, Block, Jockey, Long Ball Pass, Power Header",191.0,86.0
